character,dialog,movie
Gandalf,Retreat! The city is breached. Fall back to the second level. Get the women and children out. Get them out. Retreat.,The_Return_of_the_King
Soldiers_On_Gate,"Come on, come on!",The_Return_of_the_King
Gothmog,Move into the city. Kill all in your path.,The_Return_of_the_King
Orc,Break it up! Break it up!,The_Return_of_the_King
General,Oy! I'll have your guts if you don't shut this rabble down!,The_Return_of_the_King
Frodo,Go Sam. Now!,The_Return_of_the_King
General,Move along scum!,The_Return_of_the_King
Captain,Get back in the line you maggots! Get back in the line you slugs!,The_Return_of_the_King
Frodo,I can't! I can't' I can't manage the Ring Sam. It's' it's' such a weight to carry. It's such a weight.,The_Return_of_the_King
Soldier,Take them down!,The_Return_of_the_King
Gandalf,Fight! Fight to the last man. Fight for your lives.,The_Return_of_the_King
Pippin,Gandalf! Gandalf! Denethor has lost his mind. He's burning Faramir alive!,The_Return_of_the_King
Gandalf,Up! Quickly! Go back to the abyss! Fall into the nothingness that awaits you and your master!,The_Return_of_the_King
Witch_King,"Do you not know death when you see it, old man? This is my hour!",The_Return_of_the_King
Pippin,Gandalf! AAAAhhh!,The_Return_of_the_King
Witch_King,You have failed! The world of men will fall.,The_Return_of_the_King
Sam,"We're going that way, straight as we can. There's no point carrying anything we're not sure to need. Mr. Frodo, look. There is light and beauty up there that no shadow can touch. Take mine. There's a few drops left.",The_Return_of_the_King
Frodo,There will be none left for the return journey.,The_Return_of_the_King
Sam,"I don't think there will be a return journey Mr. Frodo. Frodo, get down! Hide! Frodo!",The_Return_of_the_King
Pippin,Where are they?,The_Return_of_the_King
Aragorn,Let the Lord of the Black Land come forth! Let justice be done upon him!,The_Return_of_the_King
Mouth_Of_Sauron,My master Sauron the Great bids thee welcome. Is there any in this rout with authority to treat with me?,The_Return_of_the_King
Gandalf,"We do not come to treat with Sauron, faithless and accursed. Tell your master this. The armies of Mordor must disband. He is to depart these lands, never to return.",The_Return_of_the_King
Eowyn,Courage Merry. Courage for our friends.,The_Return_of_the_King
Gothmog,"Form ranks you maggots. Form ranks. Pikes in front, archers behind.",The_Return_of_the_King
Theoden,"Eomer, take your Eored down the left flank.",The_Return_of_the_King
Eomer,Flank ready!,The_Return_of_the_King
Theoden,"Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness! Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!",The_Return_of_the_King
Eowyn,"Whatever happens, stay with me. I'll look after you.",The_Return_of_the_King
Theoden,"Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH!",The_Return_of_the_King
Army,DEATH!,The_Return_of_the_King
Theoden,DEATH!,The_Return_of_the_King
Army,DEATH!,The_Return_of_the_King
Theoden,DEATH! DEATH!,The_Return_of_the_King
Mouth_Of_Sauron,Aha! Old Greybeard! I have a token I was bidden to show thee.,The_Return_of_the_King
Pippin,Frodo! Frodo!,The_Return_of_the_King
Gandalf,Silence!,The_Return_of_the_King
Merry,No!,The_Return_of_the_King
Gandalf,Silence!,The_Return_of_the_King
Mouth_Of_Sauron,"The Halfling was dear to thee I see. Know that he suffered greatly at the hands of his host. Who would've thought one so small could endure so much pain? And he did Gandalf, he did.",The_Return_of_the_King
Aragorn,You may go no further. You will not enter Gondor.,The_Return_of_the_King
Boson,Who are you to deny us passage?,The_Return_of_the_King
Aragorn,"Legolas, fire a warning shot past the boson's ear.",The_Return_of_the_King
Gimli,"Mind your aim. Oh! That's it, right, we warned you! Prepare to be boarded!",The_Return_of_the_King
Mercenary,"Boarded, by you and whose army?",The_Return_of_the_King
Eowyn/merry,DEATH!,The_Return_of_the_King
Theoden,Forth Eorlingas!,The_Return_of_the_King
Gothmog,FIRE!,The_Return_of_the_King
Merry,DEEEEAAATH!,The_Return_of_the_King
Theoden,CHAAAAARGE!,The_Return_of_the_King
Gothmog,Fire at will!,The_Return_of_the_King
Denethor,Set a fire in our flesh!,The_Return_of_the_King
Gandalf,Stay this madness!,The_Return_of_the_King
Denethor,"You may triumph in the field of battle for a day, but against the power that has risen in the east, there is no victory! NOOOOOO, you will not take my son from me!",The_Return_of_the_King
Pippin,NO! Aaahhh.,The_Return_of_the_King
Denethor,Faramir! Aaaaaahhhh!,The_Return_of_the_King
Gandalf,"So passes Denethor, son of Ecthelion.",The_Return_of_the_King
Mouth_Of_Sauron,And who is this? Isildur's heir? It takes more to make a King than a broken Elvish blade.,The_Return_of_the_King
Gimli,I guess that concludes negotiations.,The_Return_of_the_King
Aragorn,I do not believe it. I will not. This army.,The_Return_of_the_King
Gollum,In there.,The_Return_of_the_King
Frodo,What is this place?,The_Return_of_the_King
Gollum,Master must go inside the tunnel.,The_Return_of_the_King
Frodo,Now that I'm here I don't think I want to.,The_Return_of_the_King
Gollum,It's the only way. Go in' or go back.,The_Return_of_the_King
Frodo,I can't go back. What's that smell.,The_Return_of_the_King
Gollum,Orcses' filth. Orcses come in here sometimes. Hurry! This way.,The_Return_of_the_King
Frodo,Smeagol?,The_Return_of_the_King
Gollum,Over here.,The_Return_of_the_King
Frodo,"Ah aah! Its sticky, what is it?",The_Return_of_the_King
Gollum,"You'll see. Oh yes, you will see.",The_Return_of_the_King
Eomer,Drive them to the river.,The_Return_of_the_King
Theoden,Make safe the city. Re-form the line! Re-form the line! Sound the charge. Take them head-on. Chaaarge!,The_Return_of_the_King
Rohirrim,Cut him down!,The_Return_of_the_King
Eowyn,Take the reins pull him left. LEFT!,The_Return_of_the_King
Eomer,Aim for the heads!,The_Return_of_the_King
Theoden,Bring it down! Bring it down! Bring it down!,The_Return_of_the_King
Eowyn,Merry!,The_Return_of_the_King
Frodo,Smeagol? (shouts) SMEAGOL! SMEAGOL! Sam.,The_Return_of_the_King
Sam,Ow!,The_Return_of_the_King
Galadriel_Voice-over,"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. May it be a light for you in dark places, when all other lights go out.",The_Return_of_the_King
Frodo,Aiya E'rendil Elenion Ancalim',The_Return_of_the_King
Gollum,Naughty little fly. Why does he cry? Caught in a web. Soon you'll be eaten. Got away did it precious? Not this time. Not this time.,The_Return_of_the_King
Frodo,NO!,The_Return_of_the_King
Smeagol,It wasn't us. It wasn't us. Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it.,The_Return_of_the_King
Frodo,I have to destroy it Smeagol. I have to destroy it for both our sakes.,The_Return_of_the_King
Gollum,NO! Aaaaaaaaa.,The_Return_of_the_King
Frodo,I'm so sorry Sam. I'm so sorry.,The_Return_of_the_King
Gimli,What kind of army would linger in such a place?,The_Return_of_the_King
